Short_Name,Ticker
St Bk of India,SBIN
HDFC Bank,HDFCBANK
Reliance Industr,RELIANCE
ICICI Bank,ICICIBANK
TCS,TCS
Life Insurance,LICI
O N G C,ONGC
Tata Motors,TATAMOTORS
Axis Bank,AXISBANK
Infosys,INFY
Power Fin.Corpn.,PFC
NTPC,NTPC
Bank of Baroda,BANKBARODA
Bharti Airtel,BHARTIARTL
ITC,ITC
Kotak Mah. Bank,KOTAKBANK
HCL Technologies,HCLTECH
Punjab Natl.Bank,PNB
Canara Bank,CANBK
Union Bank (I),UNIONBANK
Bajaj Finance,BAJFINANCE
REC Ltd,RECLTD
Maruti Suzuki,MARUTI
Hindalco Inds.,HINDALCO
Larsen & Toubro,LT
Adani Power,ADANIPOWER
M & M,M&M
Vedanta,VEDL
Sun Pharma.Inds.,SUNPHARMA
Indian Bank,INDIANB
Adani Ports,ADANIPORTS
GAIL (India),GAIL
Hind. Unilever,HINDUNILVR
Indus Towers,INDUSTOWER
Hindustan Zinc,HINDZINC
Hind.Aeronautics,HAL
Bajaj Finserv,BAJAJFINSV
Bank of India,BANKINDIA
Shriram Finance,SHRIRAMFIN
Bajaj Auto,BAJAJ-AUTO
General Insuranc,GICRE
Bajaj Holdings,BAJAJHLDNG
Oil India,OIL
IndusInd Bank,INDUSINDBK
IDBI Bank,IDBI
I R F C,IRFC
NMDC,NMDC
UltraTech Cem.,ULTRACEMCO
Interglobe Aviat,INDIGO
H P C L,HINDPETRO
Bank of Maha,MAHABANK
LIC Housing Fin.,LICHSGFIN
Bharat Electron,BEL
Cipla,CIPLA
Muthoot Finance,MUTHOOTFIN
LTIMindtree,LTIM
Zydus Lifesci.,ZYDUSLIFE
Eicher Motors,EICHERMOT
Ambuja Cements,AMBUJACEM
Hero Motocorp,HEROMOTOCO
Samvardh. Mothe.,MOTHERSON
Grasim Inds,GRASIM
Cholaman.Inv.&Fn,CHOLAFIN
Federal Bank,FEDERALBNK
Authum Invest,AIIL
Natl. Aluminium,NATIONALUM
Tata Power Co.,TATAPOWER
Adani Enterp.,ADANIENT
DLF,DLF
Aditya Birla Cap,ABCAPITAL
Central Bank,CENTRALBK
Aurobindo Pharma,AUROPHARMA
Motil.Oswal.Fin.,MOTILALOFS
Titan Company,TITAN
Nestle India,NESTLEIND
I O B,IOB
Lupin,LUPIN
Ashok Leyland,ASHOKLEY
Mazagon Dock,MAZDOCK
Avenue Super.,DMART
NHPC Ltd,NHPC
H U D C O,HUDCO
Varun Beverages,VBL
Oberoi Realty,OBEROIRLTY
L&T Finance Ltd,LTF
ICICI Lombard,ICICIGI
Macrotech Devel.,LODHA
Bandhan Bank,BANDHANBNK
M & M Fin. Serv.,M&MFIN
SBI Life Insuran,SBILIFE
ACC,ACC
GE Shipping Co,GESHIP
HDFC AMC,HDFCAMC
Torrent Power,TORNTPOWER
UCO Bank,UCOBANK
Oracle Fin.Serv.,OFSS
NLC India,NLCINDIA
Britannia Inds.,BRITANNIA
Yes Bank,YESBANK
Alkem Lab,ALKEM
Embassy Off.REIT,EMBASSY
J & K Bank,J&KBANK
ICICI Securities,ISEC
Chola Financial,CHOLAHLDNG
SBI Cards,SBICARD
AU Small Finance,AUBANK
Bosch,BOSCHLTD
Pidilite Inds.,PIDILITIND
TVS Motor Co.,TVSMOTOR
Manappuram Fin.,MANAPPURAM
Bajaj Housing,BAJAJHFL
Cummins India,CUMMINSIND
Mankind Pharma,MANKIND
IDFC First Bank,IDFCFIRSTB
Karur Vysya Bank,KARURVYSYA
A B B,ABB
Natco Pharma,NATCOPHARM
Torrent Pharma.,TORNTPHARM
Jindal Saw,JINDALSAW
Polycab India,POLYCAB
PNB Housing,PNBHOUSING
Balkrishna Inds,BALKRISIND
Dabur India,DABUR
MRF,MRF
HDFC Life Insur.,HDFCLIFE
P I Industries,PIIND
Mphasis,MPHASIS
Sundaram Finance,SUNDARMFIN
Jio Financial,JIOFIN
Marico,MARICO
Indian Hotels Co,INDHOTEL
Indian Renewable,IREDA
Lloyds Metals,LLOYDSME
Indraprastha Gas,IGL
Trent,TRENT
Godrej Propert.,GODREJPROP
United Spirits,UNITDSPR
Colgate-Palmoliv,COLPAL
Adani Green,ADANIGREEN
Havells India,HAVELLS
CESC,CESC
Apollo Tyres,APOLLOTYRE
Angel One,ANGELONE
Guj.St.Petronet,GSPL
Abbott India,ABBOTINDIA
Container Corpn.,CONCOR
Nippon Life Ind.,NAM-INDIA
JSW Infrast,JSWINFRA
Persistent Sys,PERSISTENT
Tata Consumer,TATACONSUM
Apollo Hospitals,APOLLOHOSP
L&T Technology,LTTS
I R C T C,IRCTC
Gujarat Gas,GUJGASLTD
Redington,REDINGTON
Adani Wilmar,AWL
Suzlon Energy,SUZLON
Patanjali Foods,PATANJALI
SRF,SRF
Escorts Kubota,ESCORTS
Berger Paints,BERGEPAINT
Bombay Burmah,BBTC
Solar Industries,SOLARINDS
TVS Holdings,TVSHLTD
Tata Comm,TATACOMM
City Union Bank,CUB
360 ONE,360ONE
IIFL Finance,IIFL
Nava,NAVA
Max Healthcare,MAXHEALTH
Mahanagar Gas,MGL
Bharti Hexacom,BHARTIHEXA
Godfrey Phillips,GODFRYPHLP
Phoenix Mills,PHOENIXLTD
Five-Star Bus.Fi,FIVESTAR
Supreme Inds.,SUPREMEIND
New India Assura,NIACL
Schaeffler India,SCHAEFFLER
Bharat Forge,BHARATFORG
Amara Raja Ener.,ARE&M
Uno Minda,UNOMINDA
CG Power & Ind,CGPOWER
BSE,BSE
Castrol India,CASTROLIND
SJVN,SJVN
Altius Telecom,543225
Aditya AMC,ABSLAMC
Nuvama Wealth,NUVAMA
Shyam Metalics,SHYAMMETL
Ajanta Pharma,AJANTPHARM
Deepak Fertiliz.,DEEPAKFERT
Aadhar Hsg. Fin.,AADHARHFC
Glaxosmi. Pharma,GLAXO
Vardhman Textile, VTL
Pun. & Sind Bank,PSB
M R P L,MRPL
NCC,NCC
K P R Mill Ltd,KPRMILL
Biocon,BIOCON
Cochin Shipyard,COCHINSHIP
Tube Investments,TIINDIA
Tata Elxsi,TATAELXSI
Godawari Power,GPIL
Apar Inds.,APARINDS
UTI AMC,UTIAMC
Endurance Tech.,ENDURANCE
Exide Inds.,EXIDEIND
Star Health Insu,STARHEALTH
Emami,EMAMILTD
Fortis Health.,FORTIS
Narayana Hrudaya,NH
Swan Energy,SWANENERGY
Coforge,COFORGE
KPIT Technologi.,KPITTECH
Jai Balaji Inds.,JAIBALAJI
IRB Infra.Devl.,IRB
Ipca Labs.,IPCALAB
P & G Hygiene,PGHH
Voltas,VOLTAS
Aptus Value Hou.,APTUS
Gland Pharma,GLAND
EIH,EIHOTEL
Deepak Nitrite,DEEPAKNTR
CRISIL,CRISIL
Sarda Energy,SARDAEN
Page Industries,PAGEIND
Adani Total Gas,ATGL
Tejas Networks,TEJASNET
Kalyan Jewellers,KALYANKJIL
Zomato Ltd,ZOMATO
Zensar Tech.,ZENSARTECH
J B Chemicals &,JBCHEPHARM
Info Edg.(India),NAUKRI
KEI Industries,KEI
Welspun Living,WELSPUNLIV
Brigade Enterpr.,BRIGADE
Dixon Technolog.,DIXON
Cyient,CYIENT
APL Apollo Tubes,APLAPOLLO
Motherson Wiring,MSUMI
J K Cements,JKCEMENT
Kansai Nerolac,KANSAINER
Pfizer,PFIZER
Thermax,THERMAX
Emcure Pharma,EMCURE
BASF India,BASF
Sona BLW Precis.,SONACOMS
Alembic Pharma,APLLTD
L T Foods,LTFOODS
Birlasoft Ltd,BSOFT
NBCC,NBCC
Bharat Dynamics,BDL
AAVAS Financiers,AAVAS
Firstsour.Solu.,FSL
3M India,3MINDIA
C D S L,CDSL
Sundram Fasten.,SUNDRMFAST
Blue Star,BLUESTARCO
DCM Shriram,DCMSHRIRAM
Finolex Cables,FINCABLES
SKF India,SKFINDIA
Honeywell Auto,HONAUT
Mindspace Busine,MINDSPACE
Astral,ASTRAL
Crompton Gr. Con,CROMPTON
eClerx Services,ECLERX
Caplin Point Lab,CAPLIPOINT
Nexus Select,NXST
Himadri Special,HSCL
Kalpataru Proj.,KPIL
Sumitomo Chemi.,SUMICHEM
Multi Comm. Exc.,MCX
CEAT,CEATLTD
Global Health,MEDANTA
GE Vernova T&D,GVT&D
Avanti Feeds,AVANTIFEED
Gillette India,GILLETTE
Indiamart Inter.,INDIAMART
Gujarat Fluoroch,FLUOROCHEM
K E C Intl.,KEC
BLS Internat.,BLS
Carborundum Uni.,CARBORUNIV
PCBL Chemical,PCBL
United Breweries,UBL
Kirl. Brothers,KIRLOSBROS
Cams Services,CAMS
Akzo Nobel,AKZOINDIA
Sonata Software,SONATSOFTW
Dr Lal Pathlabs,LALPATHLAB
Atul,ATUL
Supreme Petroch.,SPLPETRO
Metro Brands,METROBRAND
Fine Organic,FINEORG
Vedant Fashions,MANYAVAR
Hindustan Copper,HINDCOPPER
Timken India,TIMKEN
Indian Energy Ex,IEX
Garden Reach Sh.,GRSE
Vinati Organics,VINATIORGA
Action Const.Eq.,ACE
Shakti Pumps,SHAKTIPUMP
Anant Raj,ANANTRAJ
Capri Global,CGCL
Indegene,INDGN
Ramkrishna Forg.,RKFORGE
Jupiter Wagons,JWL
IndiGrid Trust,INDIGRID
Jyothy Labs,JYOTHYLAB
Grindwell Norton,GRINDWELL
Affle India,AFFLE
HFCL,HFCL
Aarti Industries,AARTIIND
Go Digit General,GODIGIT
Bata India,BATAINDIA
Kajaria Ceramics,KAJARIACER
Krishna Institu.,KIMS
Cello World,CELLO
Triveni Turbine,TRITURBINE
Whirlpool India,WHIRLPOOL
HBL Engineering,HBLENGINE
ERIS Lifescience,ERIS
Concord Biotech,CONCORDBIO
Asahi India Glas,ASAHIINDIA
Elgi Equipments,ELGIEQUIP
KFin Technolog.,KFINTECH
Techno Elec.Engg,TECHNOE
Zydus Wellness,ZYDUSWELL
Poly Medicure,POLYMED
Hitachi Energy,POWERINDIA
Radico Khaitan,RADICO
Inox Wind,INOXWIND
Jyoti CNC Auto.,JYOTICNC
Trident,TRIDENT
Newgen Software,NEWGEN
Hatsun Agro,HATSUN
Gravita India,GRAVITA
Anand Rathi Wea.,ANANDRATHI
Bikaji Foods,BIKAJI
Blue Dart Expres,BLUEDART
Minda Corp,MINDACORP
Navin Fluo.Intl.,NAVINFLUOR
Ingersoll-Rand,INGERRAND
V-Guard Industri,VGUARD
Clean Science,CLEAN
Kaynes Tech,KAYNES
National High,NHIT
KSB,KSB
Rainbow Child.,RAINBOW
Blue Jet Health,BLUEJET
Jubilant Food.,JUBLFOOD
Amber Enterp.,AMBER
Century Plyboard,CENTURYPLY
TBO Tek,TBOTEK
Happiest Minds,HAPPSTMNDS
Zen Technologies,ZENTEC
PG Electroplast,PGEL
PB Fintech.,POLICYBZR
Schneider Elect.,SCHNEIDER
Laurus Labs,LAURUSLABS
Doms Industries,DOMS
Craftsman Auto,CRAFTSMAN
JBM Auto,JBMA
Lemon Tree Hotel,LEMONTREE
JSW Holdings,JSWHL
Poonawalla Fin,POONAWALLA
T R I L,509046
Vijaya Diagnost.,VIJAYA
Aether Industri.,AETHER
Chalet Hotels,CHALET
Inox Wind Energy,IWEL
Brookfield India,BIRET
SignatureGlobal,SIGNATURE
Sobha,SOBHA
FSN E-Commerce,NYKAA
PTC Industries,PTCIL
Westlife Food,WESTLIFE
